model,sensitive_attr,cv_index,outcome,accuracy,0.precision,0.recall,0.f1-score,1.precision,1.recall,1.f1-score,macro avg.precision,macro avg.recall,macro avg.f1-score,weighted avg.precision,weighted avg.recall,weighted avg.f1-score
dtree_untuned,none,2,h1n1_vaccine,0.7556637333832615,0.8525066602082829,0.8349146110056926,0.8436189334931097,0.42574257425742573,0.45866666666666667,0.441591784338896,0.6391246172328543,0.6467906388361797,0.6426053589160028,0.7626153296157507,0.7556637333832615,0.7589380604733587
svc,none,2,h1n1_vaccine,0.8367346938775511,0.8644289450741064,0.9407020872865275,0.9009541117673785,0.6679946879150066,0.4471111111111111,0.5356762513312033,0.7662118164945565,0.6939065991988194,0.718315181549291,0.8230530717724799,0.8367346938775511,0.8240139146150293
logistic,none,2,seasonal_vaccine,0.7843100542969481,0.7898845892735913,0.8136363636363636,0.801584567688598,0.7774530271398747,0.7505038291011689,0.7637407711238722,0.783668808206733,0.7820700963687662,0.7826626694062351,0.7841098831036324,0.7843100542969481,0.7840053766612465
dtree,none,2,seasonal_vaccine,0.7159707919865194,0.7286346612189308,0.7482517482517482,0.7383129204761082,0.7004991680532446,0.6787585650947199,0.6894575230296828,0.7145669146360878,0.713505156673234,0.7138852217528955,0.7155651688871452,0.7159707919865194,0.7156186233286486
adaboost,none,2,seasonal_vaccine,0.7683954315671223,0.7780061664953751,0.794055944055944,0.7859491261463921,0.7568125516102395,0.7388149939540508,0.7477054864368754,0.7674093590528073,0.7664354690049975,0.7668273062916338,0.7681613137468222,0.7683954315671223,0.7681842000802415
dtree_untuned,none,2,seasonal_vaccine,0.6768395431567122,0.6995073891625616,0.6951048951048951,0.6972991932655209,0.6510604241696679,0.6557839580814188,0.6534136546184739,0.6752839066661147,0.675444426593157,0.6753564239419974,0.6770028169574747,0.6768395431567122,0.6769134936992742
svc,none,2,seasonal_vaccine,0.7843100542969481,0.7877358490566038,0.8174825174825174,0.8023335621139328,0.7800252844500632,0.7460701330108828,0.7626699629171817,0.7838805667533335,0.7817763252467,0.7825017625155573,0.7841541394911989,0.7843100542969481,0.7839090368177074
logistic,none,3,h1n1_vaccine,0.8412282344130313,0.8632626568585028,0.948644793152639,0.9039420027186225,0.6995827538247567,0.4431718061674009,0.5426105717367853,0.7814227053416297,0.69590829966002,0.7232762872277039,0.8284795282415207,0.8412282344130313,0.8271565366702449
dtree,none,3,h1n1_vaccine,0.8024714472945141,0.8321737297069366,0.9384213029006182,0.8821097329310538,0.5668896321070234,0.2986784140969163,0.3912290825158684,0.69953168090698,0.6185498584987672,0.6366694077234611,0.7757989963656332,0.8024714472945141,0.7777941481676695
adaboost,none,3,h1n1_vaccine,0.8386070024340011,0.8645878761447885,0.9427009034712316,0.9019563239308463,0.680794701986755,0.452863436123348,0.5439153439153439,0.7726912890657718,0.6977821697972898,0.7229358339230951,0.825530536195459,0.8386070024340011,0.8258701018155878
dtree_untuned,none,3,h1n1_vaccine,0.7668975847219622,0.8556329570021619,0.8468854018069425,0.8512367068944916,0.4533106960950764,0.47048458149779737,0.46173800259403375,0.6544718265486191,0.6586849916523699,0.6564873547442627,0.770136651791613,0.7668975847219622,0.7684654974990563
svc,none,3,h1n1_vaccine,0.8376708481557761,0.8620689655172413,0.9450784593437945,0.9016672337529772,0.6835616438356165,0.439647577092511,0.5351206434316355,0.7728153046764289,0.6923630182181528,0.7183939385923064,0.8241349063319493,0.8376708481557761,0.8237735097285018
logistic,none,3,seasonal_vaccine,0.7880546714098483,0.788596198732911,0.8260565840027942,0.806891845786421,0.7873612297181896,0.7441485068603713,0.7651452282157676,0.7879787142255503,0.7851025454315828,0.7860185370010944,0.7880232249043245,0.7880546714098483,0.7875231660747417
dtree,none,3,seasonal_vaccine,0.7043624789365287,0.7118811881188118,0.7534055186866923,0.7320549804853215,0.6945045434876677,0.6476997578692494,0.6702860722489038,0.7031928658032398,0.7005526382779708,0.7011705263671126,0.7038191537814265,0.7043624789365287,0.703396797633825
adaboost,none,3,seasonal_vaccine,0.7904886725332335,0.7965986394557824,0.8180230527418791,0.807168705841806,0.7830070803831737,0.7586763518966909,0.7706497233039558,0.789802859919478,0.788349702319285,0.7889092145728809,0.7902927260721605,0.7904886725332335,0.7902254295398414
dtree_untuned,none,3,seasonal_vaccine,0.6940647818760531,0.7143355423787932,0.7153335661893119,0.7148342059336824,0.6705739692805174,0.6694915254237288,0.670032310177706,0.6924547558296552,0.6924125458065203,0.6924332580556942,0.6940320078089509,0.6940647818760531,0.6940480052814993
svc,none,3,seasonal_vaccine,0.7869312862759783,0.7872127872127872,0.8257073000349284,0.80600068189567,0.7865697177074422,0.7421307506053268,0.763704318936877,0.7868912524601147,0.7839190253201276,0.7848525004162734,0.7869144299324566,0.7869312862759783,0.786376943380057
logistic,none,4,h1n1_vaccine,0.8328028459090058,0.856376127093173,0.946831236648469,0.8993349115094126,0.6720351390922401,0.40691489361702127,0.5069022639425732,0.7642056330927065,0.6768730651327451,0.7031185877259929,0.8174439731023375,0.8328028459090058,0.8164545470729037
dtree,none,4,h1n1_vaccine,0.8007863695937091,0.8244384916546467,0.9496795632565868,0.8826384292962719,0.5655737704918032,0.24468085106382978,0.3415841584158416,0.695006131073225,0.5971802071602083,0.6121112938560568,0.7697671931203484,0.8007863695937091,0.7683697122857635
adaboost,none,4,h1n1_vaccine,0.8296199213630406,0.8560034490191851,0.9425587467362925,0.8971983732489833,0.6552706552706553,0.4078014184397163,0.5027322404371585,0.7556370521449203,0.6751800825880043,0.6999653068430709,0.813609404580252,0.8296199213630406,0.8138885440387721
dtree_untuned,none,4,h1n1_vaccine,0.7562254259501966,0.8454782815096131,0.8454782815096131,0.8454782815096131,0.4228723404255319,0.4228723404255319,0.4228723404255319,0.6341753109675725,0.6341753109675725,0.6341753109675725,0.7562254259501966,0.7562254259501966,0.7562254259501966
svc,none,4,h1n1_vaccine,0.8273731510953005,0.8598294336321889,0.9333016852599098,0.8950603232415205,0.6341145833333334,0.4317375886524823,0.5137130801687764,0.7469720084827611,0.682519636956196,0.7043867017051484,0.8121592686561341,0.8273731510953005,0.8145211563839928
logistic,none,4,seasonal_vaccine,0.7786931286275979,0.7860291624279416,0.8079470198675497,0.7968374011687865,0.7696488294314381,0.7447411003236246,0.7569901315789475,0.7778389959296899,0.7763440600955871,0.776913766373867,0.778447776326583,0.7786931286275979,0.7783947030923809
dtree,none,4,seasonal_vaccine,0.7412469574985958,0.7457851239669422,0.786336702683862,0.7655242619613166,0.7353195164075993,0.688915857605178,0.7113617376775272,0.7405523201872708,0.73762628014452,0.738442999819422,0.7409412778919197,0.7412469574985958,0.7404559676288831
adaboost,none,4,seasonal_vaccine,0.7777569743493727,0.788013698630137,0.8020216103171837,0.7949559509414408,0.7653862040479141,0.7495954692556634,0.7574085428162682,0.7766999513390256,0.7758085397864236,0.7761822468788545,0.7775409095256145,0.7777569743493727,0.7775777084989345
dtree_untuned,none,4,seasonal_vaccine,0.6867627785058977,0.7098245614035088,0.7051237364935518,0.7074663402692778,0.660377358490566,0.665453074433657,0.6629055007052186,0.6851009599470375,0.6852884054636044,0.6851859204872481,0.686938681306,0.6867627785058977,0.6868420385650362
svc,none,4,seasonal_vaccine,0.7792548211945328,0.7864406779661017,0.8086441268734751,0.7973878673311566,0.7703889585947302,0.7451456310679612,0.7575570635410241,0.778414818280416,0.7768948789707182,0.7774724654360904,0.7790113856451824,0.7792548211945328,0.7789527901978094
logistic,marital_status,0,h1n1_vaccine,0.7849120179707975,0.7849120179707975,1.0,0.8794965915049816,0.0,0.0,0.0,0.39245600898539873,0.5,0.4397482957524908,0.6160868759549895,0.7849120179707975,0.6903274444366132
dtree,marital_status,0,h1n1_vaccine,0.7849120179707975,0.7849120179707975,1.0,0.8794965915049816,0.0,0.0,0.0,0.39245600898539873,0.5,0.4397482957524908,0.6160868759549895,0.7849120179707975,0.6903274444366132
adaboost,marital_status,0,h1n1_vaccine,0.7849120179707975,0.7849120179707975,1.0,0.8794965915049816,0.0,0.0,0.0,0.39245600898539873,0.5,0.4397482957524908,0.6160868759549895,0.7849120179707975,0.6903274444366132
dtree_untuned,marital_status,0,h1n1_vaccine,0.7849120179707975,0.7849120179707975,1.0,0.8794965915049816,0.0,0.0,0.0,0.39245600898539873,0.5,0.4397482957524908,0.6160868759549895,0.7849120179707975,0.6903274444366132
svc,marital_status,0,h1n1_vaccine,0.7849120179707975,0.7849120179707975,1.0,0.8794965915049816,0.0,0.0,0.0,0.39245600898539873,0.5,0.4397482957524908,0.6160868759549895,0.7849120179707975,0.6903274444366132
logistic,marital_status,0,seasonal_vaccine,0.5295769374766005,0.5295769374766005,1.0,0.692448904662832,0.0,0.0,0.0,0.26478846873830025,0.5,0.346224452331416,0.2804517327070952,0.5295769374766005,0.36670497029036914
dtree,marital_status,0,seasonal_vaccine,0.5295769374766005,0.5295769374766005,1.0,0.692448904662832,0.0,0.0,0.0,0.26478846873830025,0.5,0.346224452331416,0.2804517327070952,0.5295769374766005,0.36670497029036914
adaboost,marital_status,0,seasonal_vaccine,0.5295769374766005,0.5295769374766005,1.0,0.692448904662832,0.0,0.0,0.0,0.26478846873830025,0.5,0.346224452331416,0.2804517327070952,0.5295769374766005,0.36670497029036914
dtree_untuned,marital_status,0,seasonal_vaccine,0.5295769374766005,0.5295769374766005,1.0,0.692448904662832,0.0,0.0,0.0,0.26478846873830025,0.5,0.346224452331416,0.2804517327070952,0.5295769374766005,0.36670497029036914
svc,marital_status,0,seasonal_vaccine,0.5295769374766005,0.5295769374766005,1.0,0.692448904662832,0.0,0.0,0.0,0.26478846873830025,0.5,0.346224452331416,0.2804517327070952,0.5295769374766005,0.36670497029036914
logistic,marital_status,1,h1n1_vaccine,0.7871583676525645,0.7871583676525645,1.0,0.8809049963339268,0.0,0.0,0.0,0.39357918382628226,0.5,0.4404524981669634,0.61961829576545,0.7871583676525645,0.6934117389712022
dtree,marital_status,1,h1n1_vaccine,0.7871583676525645,0.7871583676525645,1.0,0.8809049963339268,0.0,0.0,0.0,0.39357918382628226,0.5,0.4404524981669634,0.61961829576545,0.7871583676525645,0.6934117389712022
adaboost,marital_status,1,h1n1_vaccine,0.7871583676525645,0.7871583676525645,1.0,0.8809049963339268,0.0,0.0,0.0,0.39357918382628226,0.5,0.4404524981669634,0.61961829576545,0.7871583676525645,0.6934117389712022
dtree_untuned,marital_status,1,h1n1_vaccine,0.7871583676525645,0.7871583676525645,1.0,0.8809049963339268,0.0,0.0,0.0,0.39357918382628226,0.5,0.4404524981669634,0.61961829576545,0.7871583676525645,0.6934117389712022
svc,marital_status,1,h1n1_vaccine,0.7871583676525645,0.7871583676525645,1.0,0.8809049963339268,0.0,0.0,0.0,0.39357918382628226,0.5,0.4404524981669634,0.61961829576545,0.7871583676525645,0.6934117389712022
logistic,marital_status,1,seasonal_vaccine,0.5336952452265069,0.5336952452265069,1.0,0.6959599658244843,0.0,0.0,0.0,0.26684762261325345,0.5,0.34797998291224214,0.28483061477738136,0.5336952452265069,0.3714305246285295
dtree,marital_status,1,seasonal_vaccine,0.5336952452265069,0.5336952452265069,1.0,0.6959599658244843,0.0,0.0,0.0,0.26684762261325345,0.5,0.34797998291224214,0.28483061477738136,0.5336952452265069,0.3714305246285295
adaboost,marital_status,1,seasonal_vaccine,0.5336952452265069,0.5336952452265069,1.0,0.6959599658244843,0.0,0.0,0.0,0.26684762261325345,0.5,0.34797998291224214,0.28483061477738136,0.5336952452265069,0.3714305246285295
dtree_untuned,marital_status,1,seasonal_vaccine,0.5336952452265069,0.5336952452265069,1.0,0.6959599658244843,0.0,0.0,0.0,0.26684762261325345,0.5,0.34797998291224214,0.28483061477738136,0.5336952452265069,0.3714305246285295
svc,marital_status,1,seasonal_vaccine,0.5336952452265069,0.5336952452265069,1.0,0.6959599658244843,0.0,0.0,0.0,0.26684762261325345,0.5,0.34797998291224214,0.28483061477738136,0.5336952452265069,0.3714305246285295
logistic,marital_status,2,h1n1_vaccine,0.7893652873993634,0.7893652873993634,1.0,0.8822852359527048,0.0,0.0,0.0,0.3946826436996817,0.5,0.4411426179763524,0.6230975569510796,0.7893652873993634,0.696445338846022
dtree,marital_status,2,h1n1_vaccine,0.7893652873993634,0.7893652873993634,1.0,0.8822852359527048,0.0,0.0,0.0,0.3946826436996817,0.5,0.4411426179763524,0.6230975569510796,0.7893652873993634,0.696445338846022
adaboost,marital_status,2,h1n1_vaccine,0.7893652873993634,0.7893652873993634,1.0,0.8822852359527048,0.0,0.0,0.0,0.3946826436996817,0.5,0.4411426179763524,0.6230975569510796,0.7893652873993634,0.696445338846022
dtree_untuned,marital_status,2,h1n1_vaccine,0.7893652873993634,0.7893652873993634,1.0,0.8822852359527048,0.0,0.0,0.0,0.3946826436996817,0.5,0.4411426179763524,0.6230975569510796,0.7893652873993634,0.696445338846022
svc,marital_status,2,h1n1_vaccine,0.7893652873993634,0.7893652873993634,1.0,0.8822852359527048,0.0,0.0,0.0,0.3946826436996817,0.5,0.4411426179763524,0.6230975569510796,0.7893652873993634,0.696445338846022
logistic,marital_status,2,seasonal_vaccine,0.5354802471447294,0.5354802471447294,1.0,0.6974759175710279,0.0,0.0,0.0,0.2677401235723647,0.5,0.34873795878551395,0.28673909508218054,0.5354802471447294,0.37348457671843094
dtree,marital_status,2,seasonal_vaccine,0.5354802471447294,0.5354802471447294,1.0,0.6974759175710279,0.0,0.0,0.0,0.2677401235723647,0.5,0.34873795878551395,0.28673909508218054,0.5354802471447294,0.37348457671843094
adaboost,marital_status,2,seasonal_vaccine,0.5354802471447294,0.5354802471447294,1.0,0.6974759175710279,0.0,0.0,0.0,0.2677401235723647,0.5,0.34873795878551395,0.28673909508218054,0.5354802471447294,0.37348457671843094
dtree_untuned,marital_status,2,seasonal_vaccine,0.5354802471447294,0.5354802471447294,1.0,0.6974759175710279,0.0,0.0,0.0,0.2677401235723647,0.5,0.34873795878551395,0.28673909508218054,0.5354802471447294,0.37348457671843094
svc,marital_status,2,seasonal_vaccine,0.5354802471447294,0.5354802471447294,1.0,0.6974759175710279,0.0,0.0,0.0,0.2677401235723647,0.5,0.34873795878551395,0.28673909508218054,0.5354802471447294,0.37348457671843094
logistic,marital_status,3,h1n1_vaccine,0.7874929788429134,0.7874929788429134,1.0,0.8811144862260397,0.0,0.0,0.0,0.3937464894214567,0.5,0.44055724311301986,0.6201451917268851,0.7874929788429134,0.6938714714597871
dtree,marital_status,3,h1n1_vaccine,0.7874929788429134,0.7874929788429134,1.0,0.8811144862260397,0.0,0.0,0.0,0.3937464894214567,0.5,0.44055724311301986,0.6201451917268851,0.7874929788429134,0.6938714714597871
adaboost,marital_status,3,h1n1_vaccine,0.7874929788429134,0.7874929788429134,1.0,0.8811144862260397,0.0,0.0,0.0,0.3937464894214567,0.5,0.44055724311301986,0.6201451917268851,0.7874929788429134,0.6938714714597871
dtree_untuned,marital_status,3,h1n1_vaccine,0.7874929788429134,0.7874929788429134,1.0,0.8811144862260397,0.0,0.0,0.0,0.3937464894214567,0.5,0.44055724311301986,0.6201451917268851,0.7874929788429134,0.6938714714597871
svc,marital_status,3,h1n1_vaccine,0.7874929788429134,0.7874929788429134,1.0,0.8811144862260397,0.0,0.0,0.0,0.3937464894214567,0.5,0.44055724311301986,0.6201451917268851,0.7874929788429134,0.6938714714597871
logistic,marital_status,3,seasonal_vaccine,0.5360419397116645,0.5360419397116645,1.0,0.6979522184300341,0.0,0.0,0.0,0.26802096985583224,0.5,0.34897610921501704,0.28734096112984375,0.5360419397116645,0.3741316609932948
dtree,marital_status,3,seasonal_vaccine,0.5360419397116645,0.5360419397116645,1.0,0.6979522184300341,0.0,0.0,0.0,0.26802096985583224,0.5,0.34897610921501704,0.28734096112984375,0.5360419397116645,0.3741316609932948
adaboost,marital_status,3,seasonal_vaccine,0.5360419397116645,0.5360419397116645,1.0,0.6979522184300341,0.0,0.0,0.0,0.26802096985583224,0.5,0.34897610921501704,0.28734096112984375,0.5360419397116645,0.3741316609932948
dtree_untuned,marital_status,3,seasonal_vaccine,0.5360419397116645,0.5360419397116645,1.0,0.6979522184300341,0.0,0.0,0.0,0.26802096985583224,0.5,0.34897610921501704,0.28734096112984375,0.5360419397116645,0.3741316609932948
svc,marital_status,3,seasonal_vaccine,0.5360419397116645,0.5360419397116645,1.0,0.6979522184300341,0.0,0.0,0.0,0.26802096985583224,0.5,0.34897610921501704,0.28734096112984375,0.5360419397116645,0.3741316609932948
logistic,marital_status,4,h1n1_vaccine,0.7888035948324283,0.7888035948324283,1.0,0.8819342683692694,0.0,0.0,0.0,0.3944017974162142,0.5,0.4409671341846347,0.6222111112205618,0.7888035948324283,0.6956729212955873
dtree,marital_status,4,h1n1_vaccine,0.7888035948324283,0.7888035948324283,1.0,0.8819342683692694,0.0,0.0,0.0,0.3944017974162142,0.5,0.4409671341846347,0.6222111112205618,0.7888035948324283,0.6956729212955873
adaboost,marital_status,4,h1n1_vaccine,0.7888035948324283,0.7888035948324283,1.0,0.8819342683692694,0.0,0.0,0.0,0.3944017974162142,0.5,0.4409671341846347,0.6222111112205618,0.7888035948324283,0.6956729212955873
dtree_untuned,marital_status,4,h1n1_vaccine,0.7888035948324283,0.7888035948324283,1.0,0.8819342683692694,0.0,0.0,0.0,0.3944017974162142,0.5,0.4409671341846347,0.6222111112205618,0.7888035948324283,0.6956729212955873
svc,marital_status,4,h1n1_vaccine,0.7888035948324283,0.7888035948324283,1.0,0.8819342683692694,0.0,0.0,0.0,0.3944017974162142,0.5,0.4409671341846347,0.6222111112205618,0.7888035948324283,0.6956729212955873
logistic,marital_status,4,seasonal_vaccine,0.5371653248455346,0.5371653248455346,1.0,0.6989037758830695,0.0,0.0,0.0,0.2685826624227673,0.5,0.34945188794153476,0.28854658621640866,0.5371653248455346,0.3754268738079997
dtree,marital_status,4,seasonal_vaccine,0.5371653248455346,0.5371653248455346,1.0,0.6989037758830695,0.0,0.0,0.0,0.2685826624227673,0.5,0.34945188794153476,0.28854658621640866,0.5371653248455346,0.3754268738079997
adaboost,marital_status,4,seasonal_vaccine,0.5371653248455346,0.5371653248455346,1.0,0.6989037758830695,0.0,0.0,0.0,0.2685826624227673,0.5,0.34945188794153476,0.28854658621640866,0.5371653248455346,0.3754268738079997
dtree_untuned,marital_status,4,seasonal_vaccine,0.5371653248455346,0.5371653248455346,1.0,0.6989037758830695,0.0,0.0,0.0,0.2685826624227673,0.5,0.34945188794153476,0.28854658621640866,0.5371653248455346,0.3754268738079997
svc,marital_status,4,seasonal_vaccine,0.5371653248455346,0.5371653248455346,1.0,0.6989037758830695,0.0,0.0,0.0,0.2685826624227673,0.5,0.34945188794153476,0.28854658621640866,0.5371653248455346,0.3754268738079997
logistic,income_poverty,0,h1n1_vaccine,0.7849120179707975,0.7849120179707975,1.0,0.8794965915049816,0.0,0.0,0.0,0.39245600898539873,0.5,0.4397482957524908,0.6160868759549895,0.7849120179707975,0.6903274444366132
dtree,income_poverty,0,h1n1_vaccine,0.7849120179707975,0.7849120179707975,1.0,0.8794965915049816,0.0,0.0,0.0,0.39245600898539873,0.5,0.4397482957524908,0.6160868759549895,0.7849120179707975,0.6903274444366132
adaboost,income_poverty,0,h1n1_vaccine,0.7849120179707975,0.7849120179707975,1.0,0.8794965915049816,0.0,0.0,0.0,0.39245600898539873,0.5,0.4397482957524908,0.6160868759549895,0.7849120179707975,0.6903274444366132
dtree_untuned,income_poverty,0,h1n1_vaccine,0.7849120179707975,0.7849120179707975,1.0,0.8794965915049816,0.0,0.0,0.0,0.39245600898539873,0.5,0.4397482957524908,0.6160868759549895,0.7849120179707975,0.6903274444366132
svc,income_poverty,0,h1n1_vaccine,0.7849120179707975,0.7849120179707975,1.0,0.8794965915049816,0.0,0.0,0.0,0.39245600898539873,0.5,0.4397482957524908,0.6160868759549895,0.7849120179707975,0.6903274444366132
logistic,income_poverty,0,seasonal_vaccine,0.5295769374766005,0.5295769374766005,1.0,0.692448904662832,0.0,0.0,0.0,0.26478846873830025,0.5,0.346224452331416,0.2804517327070952,0.5295769374766005,0.36670497029036914
dtree,income_poverty,0,seasonal_vaccine,0.5295769374766005,0.5295769374766005,1.0,0.692448904662832,0.0,0.0,0.0,0.26478846873830025,0.5,0.346224452331416,0.2804517327070952,0.5295769374766005,0.36670497029036914
adaboost,income_poverty,0,seasonal_vaccine,0.5295769374766005,0.5295769374766005,1.0,0.692448904662832,0.0,0.0,0.0,0.26478846873830025,0.5,0.346224452331416,0.2804517327070952,0.5295769374766005,0.36670497029036914
dtree_untuned,income_poverty,0,seasonal_vaccine,0.5295769374766005,0.5295769374766005,1.0,0.692448904662832,0.0,0.0,0.0,0.26478846873830025,0.5,0.346224452331416,0.2804517327070952,0.5295769374766005,0.36670497029036914
svc,income_poverty,0,seasonal_vaccine,0.5295769374766005,0.5295769374766005,1.0,0.692448904662832,0.0,0.0,0.0,0.26478846873830025,0.5,0.346224452331416,0.2804517327070952,0.5295769374766005,0.36670497029036914
logistic,income_poverty,1,h1n1_vaccine,0.7871583676525645,0.7871583676525645,1.0,0.8809049963339268,0.0,0.0,0.0,0.39357918382628226,0.5,0.4404524981669634,0.61961829576545,0.7871583676525645,0.6934117389712022
